date,day,tempSkin,dailyrmssd,deeprmssd,restingHeartRate,breathingRate,spo2avg
2022-04-08,2,-0.8,77.412,77.306,57,15.0,91.1
2022-04-09,3,-0.0,79.503,76.83,55,15.0,92.7
2022-04-11,5,0.3,73.792,72.657,55,14.6,95.4
2022-04-12,6,-0.3,65.084,61.979,55,14.4,93.2
2022-04-13,7,0.0,76.138,81.569,54,15.0,93.9
2022-04-14,8,-0.0,63.498,61.125,56,15.0,95.0
2022-04-16,10,-0.8,55.293,53.281,56,14.0,92.6
2022-04-18,12,0.4,71.879,71.986,56,14.2,96.5
2022-04-19,13,0.5,69.99,65.236,56,14.4,95.7
2022-04-21,15,0.1,52.951,50.623,57,14.6,94.4
2022-04-22,16,0.7,62.839,62.226,57,14.2,96.1
2022-04-23,17,-0.4,54.226,50.813,58,15.2,93.8
2022-04-24,18,0.3,30.009,29.247,60,13.0,95.8
2022-04-25,19,-1.2,53.534,44.054,60,14.6,91.7
2022-04-26,20,-0.3,36.526,34.861,63,15.8,91.6
2022-04-27,21,-0.4,62.693,61.071,61,14.4,92.5
2022-04-28,22,-0.2,68.192,66.264,58,15.4,95.1
2022-04-29,23,0.3,58.492,55.003,56,14.6,95.3
2022-04-30,24,0.2,50.5,47.852,56,14.6,94.2
2022-05-01,25,-0.7,52.592,52.225,55,14.6,95.2
2022-05-02,26,0.2,51.158,45.925,56,15.0,94.4
2022-05-03,27,0.2,52.331,52.991,56,15.0,96.0
2022-05-04,28,-0.2,53.081,44.39,57,15.2,93.1
2022-05-05,29,1.2,41.589,36.352,59,15.6,93.8
2022-05-06,30,0.3,49.095,47.556,59,15.8,94.3
2022-05-07,31,0.1,45.576,37.119,61,16.0,92.9
2022-05-09,1,0.7,67.483,67.268,59,16.2,93.5
2022-05-11,3,-0.4,82.525,77.63,56,15.8,93.4
2022-05-14,6,0.2,74.542,68.561,53,16.0,94.1
2022-05-15,7,0.1,77.489,71.147,54,16.4,92.3
2022-05-18,10,0.4,77.194,71.144,53,15.4,95.1
2022-05-22,14,-0.7,57.844,59.299,55,15.6,92.6
2022-05-25,17,-0.5,83.994,92.525,54,15.2,97.5
2022-05-26,18,0.0,79.298,76.918,54,14.8,91.8
2022-05-27,19,0.2,67.047,64.269,54,15.8,93.5
2022-05-28,20,0.0,85.896,83.702,54,14.8,94.9
2022-05-29,21,-0.2,77.866,71.34,54,16.0,93.6
2022-05-30,22,0.2,85.382,80.649,54,15.0,93.7
2022-05-31,23,-0.1,78.849,79.129,53,14.4,93.5
2022-06-01,24,-1.7,74.343,72.128,54,14.2,94.5
2022-06-03,26,0.0,53.16,43.857,58,15.2,94.2
2022-06-04,27,-1.0,60.529,59.715,60,15.4,94.5
2022-06-05,28,-0.4,48.95,45.575,62,15.6,94.8
2022-06-06,29,-1.2,53.986,50.969,64,14.2,92.7
2022-06-07,30,-1.3,52.633,61.545,64,15.2,93.8
2022-06-09,32,-0.6,44.662,37.352,62,16.0,94.0
2022-06-11,1,-0.6,63.34,60.935,61,15.4,92.0
2022-06-13,3,0.1,71.366,68.036,57,15.0,94.9
2022-06-15,5,-0.0,63.627,56.981,55,15.6,94.2
2022-06-16,6,-0.5,54.862,46.439,57,15.8,92.9
2022-06-17,7,0.4,73.289,67.046,56,16.0,94.9
2022-06-18,8,-1.1,65.631,57.95,55,16.6,93.7
