date,dailyrmssd,deeprmssd
2022-04-03,62.932,66.289
2022-04-04,62.066,61.813
2022-04-05,64.725,58.485
2022-04-06,50.655,48.163
2022-04-07,72.587,61.712
2022-04-08,77.412,77.306
2022-04-09,79.503,76.83
2022-04-10,65.547,66.76
2022-04-11,73.792,72.657
2022-04-12,65.084,61.979
2022-04-13,76.138,81.569
2022-04-14,63.498,61.125
2022-04-15,66.004,64.113
2022-04-16,55.293,53.281
2022-04-17,67.331,65.399
2022-04-18,71.879,71.986
2022-04-19,69.99,65.236
2022-04-20,68.522,64.187
2022-04-21,52.951,50.623
2022-04-22,62.839,62.226
2022-04-23,54.226,50.813
2022-04-24,30.009,29.247
2022-04-25,53.534,44.054
2022-04-26,36.526,34.861
2022-04-27,62.693,61.071
2022-04-28,68.192,66.264
2022-04-29,58.492,55.003
2022-04-30,50.5,47.852
2022-05-01,52.592,52.225
2022-05-02,51.158,45.925
2022-05-03,52.331,52.991
2022-05-04,53.081,44.39
2022-05-05,41.589,36.352
2022-05-06,49.095,47.556
2022-05-07,45.576,37.119
2022-05-08,59.49,53.978
2022-05-09,67.483,67.268
2022-05-10,70.674,60.872
2022-05-11,82.525,77.63
2022-05-12,87.4,80.56
2022-05-13,97.75,85.256
2022-05-14,74.542,68.561
2022-05-15,77.489,71.147
2022-05-16,80.348,78.644
2022-05-17,73.463,68.519
2022-05-18,77.194,71.144
2022-05-19,77.078,85.801
2022-05-20,81.865,79.723
2022-05-21,81.577,79.579
2022-05-22,57.844,59.299
2022-05-23,82.72,81.1
2022-05-24,75.742,74.749
2022-05-25,83.994,92.525
2022-05-26,79.298,76.918
2022-05-27,67.047,64.269
2022-05-28,85.896,83.702
2022-05-29,77.866,71.34
2022-05-30,85.382,80.649
2022-05-31,78.849,79.129
2022-06-01,74.343,72.128
2022-06-02,46.589,42.636
2022-06-03,53.16,43.857
2022-06-04,60.529,59.715
2022-06-05,48.95,45.575
2022-06-06,53.986,50.969
2022-06-07,52.633,61.545
2022-06-08,59.432,51.281
2022-06-09,44.662,37.352
2022-06-10,52.982,53.109
2022-06-11,63.34,60.935
2022-06-12,61.972,50.552
2022-06-13,71.366,68.036
2022-06-14,69.669,72.645
2022-06-15,63.627,56.981
2022-06-16,54.862,46.439
2022-06-17,73.289,67.046
2022-06-18,65.631,57.95
2022-06-19,70.505,62.699
2022-06-20,75.54,65.633
2022-06-21,66.231,54.778
2022-06-22,66.841,63.605
2022-06-23,78.05,71.866
2022-06-24,83.503,77.565
2022-06-25,74.629,72.956
2022-06-26,73.396,72.77
2022-06-27,71.806,64.082
2022-06-28,75.693,67.168
2022-06-29,76.011,77.976
2022-06-30,71.943,67.124
2022-07-01,64.065,51.507
2022-07-02,56.16,43.456
2022-07-03,51.573,54.201
2022-07-04,62.236,54.075
2022-07-05,64.736,60.066
2022-07-06,45.081,40.486
2022-07-07,56.086,43.529
2022-07-08,68.324,65.199
2022-07-09,53.426,60.007
2022-07-10,22.124,34.776
2022-07-11,18.617,25.596
2022-07-12,48.573,41.43
2022-07-13,27.388,33.81
2022-07-14,43.991,40.866
2022-07-15,59.316,53.556
2022-07-16,72.179,70.78
2022-07-17,73.314,59.203
2022-07-18,88.007,79.582
2022-07-19,87.126,78.591
2022-07-20,89.572,62.656
2022-07-21,91.604,84.115
2022-07-22,85.635,73.883
2022-07-23,74.224,72.952
2022-07-24,85.19,88.658
2022-07-25,75.348,64.995
2022-07-26,79.359,70.417
2022-07-27,63.168,60.243
2022-07-28,77.576,64.986
2022-07-29,80.64,71.74
2022-07-30,81.343,75.631
2022-07-31,77.128,72.33
2022-08-01,66.167,58.683
2022-08-02,64.738,64.84
2022-08-03,72.951,74.769
2022-08-04,67.759,57.243
2022-08-05,72.107,80.493
2022-08-06,70.901,58.584
2022-08-07,52.411,53.096
2022-08-08,52.664,55.607
2022-08-09,71.021,63.453
2022-08-10,66.199,64.283
2022-08-11,63.556,67.408
2022-08-12,61.741,58.465
2022-08-13,60.864,66.105
2022-08-14,56.614,45.355
2022-08-15,73.256,63.18
2022-08-16,77.252,85.161
2022-08-17,85.325,75.886
2022-08-18,84.082,76.731
2022-08-19,85.316,83.259
2022-08-20,84.783,85.318
2022-08-21,75.864,74.968
2022-08-22,84.302,80.727
2022-08-23,69.41,63.527
2022-08-24,55.61,49.062
2022-08-25,54.786,0.0
2022-08-26,73.019,67.995
2022-08-27,82.454,86.209
2022-08-28,59.635,53.755
2022-08-29,35.552,31.388
2022-08-30,16.681,22.122
2022-08-31,77.956,75.14
2022-09-01,71.53,70.477
2022-09-02,57.474,60.31
2022-09-03,60.122,49.553
2022-09-04,31.222,28.055
2022-09-05,67.373,64.453
2022-09-06,65.078,53.187
2022-09-07,64.93,64.016
2022-09-08,71.749,68.198
2022-09-09,62.657,59.161
2022-09-10,54.378,55.386
2022-09-11,60.289,57.871
2022-09-12,53.083,47.52
2022-09-13,56.469,54.683
2022-09-14,56.267,48.091
2022-09-15,57.473,61.917
2022-09-16,75.336,54.886
2022-09-17,58.487,60.128
2022-09-18,63.417,58.651
2022-09-19,57.834,53.594
2022-09-20,43.085,38.608
2022-09-21,45.802,46.309
2022-09-22,39.358,39.725
2022-09-23,48.695,54.676
2022-09-24,49.563,42.828
2022-09-25,57.76,53.615
2022-09-26,60.369,56.08
2022-09-27,71.233,98.421
2022-09-28,70.699,67.521
2022-09-29,81.211,74.502
2022-09-30,68.663,69.693
2022-10-01,67.079,114.197
2022-10-02,68.235,78.604
2022-10-03,82.518,64.026
2022-10-04,75.473,63.12
2022-10-05,70.973,61.588
2022-10-06,76.435,70.892
2022-10-07,78.45,74.847
2022-10-08,82.098,80.636
2022-10-09,74.971,67.342
2022-10-10,72.167,66.976
2022-10-11,69.21,64.378
2022-10-12,73.113,75.938
2022-10-13,69.518,64.133
2022-10-14,64.577,55.536
2022-10-15,44.314,44.999
2022-10-16,53.139,49.207
2022-10-17,53.73,53.27
2022-10-18,64.232,67.869
2022-10-19,60.569,54.784
2022-10-20,55.909,56.456
2022-10-21,50.416,47.348
2022-10-22,48.741,48.633
2022-10-23,52.393,53.439
2022-10-24,57.545,48.804
2022-10-25,50.57,51.229
2022-10-26,55.934,53.975
2022-10-27,53.217,63.953
2022-10-28,54.837,57.722
2022-10-29,65.729,61.153
2022-10-30,57.37,48.68
2022-10-31,46.152,44.066
2022-11-01,56.305,67.573
2022-11-02,61.978,62.111
2022-11-03,69.627,75.472
2022-11-04,68.569,62.286
2022-11-05,73.3,69.597
2022-11-06,59.701,58.431
2022-11-07,61.564,59.873
2022-11-08,69.43,63.674
2022-11-09,69.444,67.838
2022-11-10,66.82,67.215
2022-11-11,71.577,62.953
2022-11-12,53.632,51.555
2022-11-13,66.816,70.506
2022-11-14,71.222,66.272
2022-11-15,66.835,56.89
2022-11-16,76.203,83.82
2022-11-17,68.877,63.767
2022-11-18,67.847,51.734
2022-11-19,59.32,49.958
2022-11-20,83.056,79.726
2022-11-21,82.976,66.972
2022-11-22,81.534,73.382
2022-11-23,80.95,79.275
2022-11-24,75.978,73.693
2022-11-25,48.362,47.713
2022-11-26,41.54,42.308
2022-11-27,49.355,44.58
2022-11-28,60.048,61.611
2022-11-29,75.076,63.467
2022-11-30,60.782,48.997
2022-12-01,61.441,59.42
2022-12-02,84.887,79.168
2022-12-03,64.871,43.201
2022-12-04,63.587,64.807
2022-12-05,60.943,54.714
2022-12-06,66.391,63.744
2022-12-07,57.31,54.096
2022-12-08,56.016,50.171
2022-12-09,48.733,46.402
2022-12-10,53.631,47.543
2022-12-11,72.163,66.739
2022-12-12,64.024,62.081
2022-12-13,72.789,69.404
2022-12-14,68.652,61.452
2022-12-15,48.164,41.163
2022-12-16,36.941,33.44
2022-12-17,46.155,37.659
2022-12-18,41.963,41.17
2022-12-19,63.092,59.636
2022-12-20,54.249,42.4
2022-12-21,65.054,53.381
2022-12-22,59.187,52.199
2022-12-23,64.019,0.0
2022-12-24,63.556,51.98
2022-12-25,61.353,56.194
2022-12-26,59.973,52.345
2022-12-27,52.17,43.806
2022-12-28,50.22,50.27
2022-12-29,53.017,41.668
2022-12-30,42.019,40.918
2022-12-31,41.098,34.981
2023-01-01,33.678,38.851
2023-01-02,41.094,47.393
2023-01-03,50.961,46.196
2023-01-04,49.425,51.758
2023-01-05,49.889,37.735
2023-01-06,52.868,49.719
2023-01-07,44.64,36.837
2023-01-08,60.843,60.321
2023-01-09,49.822,49.344
2023-01-10,36.631,35.692
2023-01-11,40.056,29.377
2023-01-12,46.688,49.851
2023-01-13,51.904,46.821
2023-01-14,54.988,40.926
2023-01-15,52.854,46.05
2023-01-16,58.483,57.853
2023-01-17,57.966,49.805
2023-01-18,57.834,49.657
2023-01-19,54.182,42.793
2023-01-20,44.985,45.68
2023-01-21,55.504,53.781
2023-01-22,68.002,63.44
2023-01-23,87.18,87.315
2023-01-24,72.763,63.697
2023-01-25,77.015,64.931
2023-01-26,71.346,77.999
2023-01-27,69.859,66.883
2023-01-28,79.572,58.594
2023-01-29,69.449,63.499
2023-01-30,57.507,46.06
2023-01-31,54.685,54.611
2023-02-01,65.519,61.407
2023-02-03,63.311,62.263
2023-02-04,72.212,82.889
2023-02-05,63.168,54.543
2023-02-06,70.112,65.214
2023-02-07,57.237,45.569
2023-02-08,56.026,45.202
2023-02-09,47.286,33.716
2023-02-10,56.325,53.079
2023-02-11,63.514,59.231
2023-02-12,60.308,53.492
2023-02-13,56.104,49.811
2023-02-14,53.579,52.959
2023-02-15,57.838,55.203
2023-02-16,48.39,37.795
2023-02-17,59.029,60.685
2023-02-18,60.612,63.271
2023-02-19,58.872,68.992
2023-02-20,43.488,46.384
2023-02-21,24.741,21.806
2023-02-22,38.969,28.489
2023-02-23,51.843,49.44
2023-02-24,56.831,52.932
2023-02-25,56.737,50.726
2023-02-26,56.688,59.767
2023-02-27,71.837,86.125
2023-02-28,73.703,62.031
2023-03-01,79.05,69.714
2023-03-02,84.262,79.473
2023-03-03,74.228,75.476
2023-03-04,55.542,41.428
2023-03-05,70.382,66.785
2023-03-06,82.223,83.072
2023-03-07,71.215,67.837
2023-03-08,76.819,64.0
2023-03-09,81.774,80.914
2023-03-10,86.056,82.251
2023-03-11,80.719,80.644
2023-03-12,89.453,78.698
2023-03-13,69.863,59.022
2023-03-14,67.005,63.641
2023-03-15,87.057,76.847
2023-03-16,59.606,47.752
2023-03-17,64.742,61.636
2023-03-18,59.286,54.886
2023-03-19,46.915,43.977
2023-03-20,58.105,56.316
2023-03-21,74.786,56.343
2023-03-22,67.442,61.32
2023-03-23,59.739,51.975
2023-03-24,77.03,72.228
2023-03-25,72.769,66.852
2023-03-26,74.5,56.52
2023-03-27,74.466,70.597
2023-03-28,72.41,70.033
2023-03-29,53.304,41.132
2023-03-30,54.72,40.267
2023-03-31,70.335,57.742
2023-04-01,59.639,54.457
2023-04-02,62.94,59.174
2023-04-03,56.67,60.418
2023-04-04,62.136,61.648
2023-04-05,46.905,42.441
2023-04-06,62.595,57.143
2023-04-07,74.643,78.742
2023-04-08,84.577,91.216
2023-04-09,78.978,77.131
2023-04-10,84.464,78.695
2023-04-11,77.04,63.962
2023-04-12,72.95,66.635
2023-04-13,92.629,76.072
2023-04-14,69.581,75.387
2023-04-15,70.133,79.565
2023-04-16,75.504,75.852
2023-04-17,76.86,72.383
2023-04-18,71.542,62.631
2023-04-19,71.253,72.356
2023-04-20,77.527,92.754
2023-04-21,62.935,341.118
2023-04-22,82.606,80.812
2023-04-23,86.992,85.316
2023-04-24,82.352,73.797
2023-04-25,71.184,61.943
2023-04-26,49.409,42.82
2023-04-27,68.178,67.102
2023-04-28,62.529,59.814
2023-04-29,92.995,78.883
2023-04-30,80.49,73.715
2023-05-01,71.646,65.158
2023-05-02,70.85,58.753
2023-05-03,66.483,58.932
2023-05-04,59.383,50.717
2023-05-05,52.352,46.459
2023-05-06,45.273,43.282
2023-05-07,47.981,48.045
2023-05-08,53.441,57.425
2023-05-09,43.824,38.815
2023-05-10,42.733,41.652
2023-05-11,43.797,44.046
2023-05-12,48.006,44.706
2023-05-14,55.004,53.41
2023-05-15,63.988,67.678
2023-05-16,72.189,65.696
2023-05-17,75.06,67.783
2023-05-18,60.203,61.914
2023-05-19,77.463,70.296
2023-05-20,82.314,76.372
2023-05-21,75.119,73.887
2023-05-22,75.626,76.011
2023-05-23,61.905,61.375
2023-05-24,79.751,72.18
2023-05-25,68.594,58.387
2023-05-26,71.26,68.214
2023-05-27,66.58,65.029
2023-05-28,74.28,67.824
2023-05-29,70.181,71.206
2023-05-30,75.845,64.574
2023-05-31,82.114,78.526
2023-06-01,71.613,63.325
2023-06-02,69.512,73.451
2023-06-03,72.54,59.079
2023-06-04,77.868,70.586
2023-06-05,65.765,59.018
2023-06-06,65.343,53.953
2023-06-07,72.635,57.694
2023-06-08,66.393,68.366
2023-06-09,65.189,65.579
2023-06-10,74.761,69.425
2023-06-11,62.077,57.288
2023-06-12,49.656,46.93
2023-06-13,55.979,57.199
2023-06-14,60.847,66.31
2023-06-15,54.326,62.78
2023-06-16,40.877,46.855
2023-06-17,54.091,37.987
2023-06-18,46.602,48.227
2023-06-19,53.947,52.78
2023-06-20,68.84,67.519
2023-06-21,61.405,59.67
2023-06-22,54.058,59.004
2023-06-23,71.336,74.582
2023-06-24,64.59,65.315
2023-06-25,76.056,67.635
2023-06-26,71.373,74.306
2023-06-27,72.792,65.332
